Dátum,Felhasználók teljes száma,Munkamenetek
2024. szept. 18.,294,335
2024. szept. 19.,248,271
2024. szept. 20.,188,199
2024. szept. 21.,193,215
2024. szept. 22.,296,319
2024. szept. 23.,333,360
2024. szept. 24.,298,325
2024. szept. 25.,304,340
2024. szept. 26.,278,293
2024. szept. 27.,248,286
2024. szept. 28.,285,309
2024. szept. 29.,295,321
2024. szept. 30.,240,266
2024. okt. 1.,258,285
2024. okt. 2.,255,281
2024. okt. 3.,256,281
2024. okt. 4.,234,251
2024. okt. 5.,241,268
2024. okt. 6.,315,349
2024. okt. 7.,330,375
2024. okt. 8.,317,367
2024. okt. 9.,321,373
2024. okt. 10.,581,668
2024. okt. 11.,460,503
2024. okt. 12.,379,424
2024. okt. 13.,503,585
2024. okt. 14.,294,326
2024. okt. 15.,261,277
2024. okt. 16.,292,319
2024. okt. 17.,293,319
2024. okt. 18.,248,266
