Dátum,Felhasználók teljes száma,Munkamenetek
2024. szept. 18.,385,421
2024. szept. 19.,425,472
2024. szept. 20.,298,319
2024. szept. 21.,307,350
2024. szept. 22.,368,393
2024. szept. 23.,431,477
2024. szept. 24.,440,476
2024. szept. 25.,404,439
2024. szept. 26.,407,437
2024. szept. 27.,355,383
2024. szept. 28.,361,398
2024. szept. 29.,397,425
2024. szept. 30.,358,384
2024. okt. 1.,354,405
2024. okt. 2.,362,398
2024. okt. 3.,393,438
2024. okt. 4.,325,353
2024. okt. 5.,332,357
2024. okt. 6.,471,507
2024. okt. 7.,425,471
2024. okt. 8.,442,473
2024. okt. 9.,435,484
2024. okt. 10.,692,807
2024. okt. 11.,575,651
2024. okt. 12.,556,629
2024. okt. 13.,869,1 025
2024. okt. 14.,442,497
2024. okt. 15.,380,430
2024. okt. 16.,313,343
2024. okt. 17.,353,382
2024. okt. 18.,544,582
